title,description,price,salePercentage,recentReviews,allReviews,GamaJuego
Ori and the Will of the Wisps,"Play the critically acclaimed masterpiece. Embark on a new journey in a vast, exotic world where you’ll encounter towering enemies and challenging puzzles on your quest to unravel Ori’s destiny.",9.89,-67.0,Overwhelmingly Positive,Overwhelmingly Positive,Baja
"Flashing Lights - Police, Firefighting, Emergency Services (EMS) Simulator","Play solo or in up to 10-player multiplayer co-op! Flashing Lights is an open world police, firefighting and EMS simulator game with plenty of opportunity for role-play or more relaxed fun with friends. Become the law or save lives! Discover leagues of player-created mods!",8.49,-66.0,Very Positive,Very Positive,Baja
Thronefall,A minimalist game about building and defending your little kingdom.,5.24,-25.0,Overwhelmingly Positive,Overwhelmingly Positive,Baja
DRAGON QUEST® XI S: Echoes of an Elusive Age™ - Definitive Edition,"The Definitive Edition includes the critically acclaimed DRAGON QUEST XI, plus additional scenarios, orchestral soundtrack, 2D mode and more! Whether you are a longtime fan or a new adventurer, this is the ultimate DQXI experience.",23.99,-40.0,Very Positive,Very Positive,Media
UNDYING,"As Anling’s zombie infection sets in, her days are numbered. The struggle to survive is made ever more paramount as she must ensure her son Cody stays alive. She must teach him how to survive in this new world at any cost…",13.99,-30.0,Mostly Positive,Mostly Positive,Media
Headbangers: Rhythm Royale,"Headbangers is a light-hearted, Rhythm Battle Royale Game where you and 29 other Pigeons compete against each other, all to complete your quest of claiming the title of Master Headbanger!",13.39,-33.0,Very Positive,Very Positive,Media
Bendy and the Dark Revival,"Bendy and the Dark Revival® is a first-person survival horror game set in the creepiest cartoon studio to ever exist. Discover the truth. Escape the studio. Above all, fear the Ink Demon…and survive.",5.99,-80.0,Very Positive,Very Positive,Baja
CARRION,"CARRION is a reverse horror game in which you assume the role of an amorphous creature of unknown origins, stalking and consuming those that imprisoned you.",5.99,-70.0,Very Positive,Very Positive,Baja
Thymesia,"Thymesia is a gruelling action-RPG with fast-paced combat and an intricate plague weapon system. In a kingdom where death spreads, play as a mysterious character known by the code name ""Corvus"". Prey upon your enemies, wield the power of disease and find the truth in your own memories.",14.99,-40.0,Very Positive,Very Positive,Media
Boxes: Lost Fragments,"As a legendary thief, your next assignment lures you into a grand and lavish mansion. There you find a series of puzzle boxes, designed for an unknown purpose. What should have been a quick in-and-out, gradually turns into your own harrowing struggle for freedom and answers.",13.49,-10.0,Very Positive,Very Positive,Media
HELLCARD,"Hellcard is a unique cooperative deck builder rogue-like game. Descend into the paper dungeons on your own, recruit computer-controlled companions or join other players' lobbies in fast-paced tactical card battles against the armies of darkness and the Archdemon himself!",15.79,-21.0,Very Positive,Very Positive,Media
Moonbreaker,"Moonbreaker is a turn-based strategy, tactical skirmish game. The game is designed to be a true digital miniatures experience, set in an expansive sci-fi universe crafted by Brandon Sanderson. Direct Captain and Crew in gripping, ever-changing competition and adventure.",22.49,-25.0,Very Positive,Very Positive,Media
BlazBlue Entropy Effect,"Artistic and Magnificent Combat Action, incredibly satisfying combos! Numerous characters, hundreds of moves! This unique action roguelite game will bring you an experience that exceeds expectations.",17.15,-22.0,Mostly Positive,Mostly Positive,Media
Poppy Playtime - Chapter 3,,9.89,-34.0,Very Positive,Very Positive,Baja
Ready or Not,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",37.49,-25.0,Mostly Positive,Mostly Positive,Alta
FINAL FANTASY VII REMAKE INTERGRADE,"Cloud Strife, an ex-SOLDIER operative, descends on the mako-powered city of Midgar. The world of the timeless classic FINAL FANTASY VII is reborn, using cutting-edge graphics technology, a new battle system and an additional adventure featuring Yuffie Kisaragi.",34.99,-50.0,Very Positive,Very Positive,Alta
Destiny 2,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",14.99,-75.0,Mostly Positive,Mostly Positive,Media
Hogwarts Legacy,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",35.99,-40.0,Very Positive,Very Positive,Alta
